Book,passagetext,passage,mp3
Psalms,1 Blessed is the man who does not walk in the advice of the wicked; nor does he stand in the way of sinners; nor does he sit in the assembly of mockers. ,Psalms Intro-1:1,http://www.oneplace.com/ministries/thru-the-bible-with-j-vernon-mcgee/listen/psalms-intro11-354143/direct-download/thru-the-bible-with-j-_2013-07-31_psalms-intro11_20130711141857.mp3
Psalms,"1 Blessed is the man who does not walk in the advice of the wicked; nor does he stand in the way of sinners; nor does he sit in the assembly of mockers. 2 Instead, in the law of Yahweh is his delight, and on his law he meditates day and night. 3 And so, he is like a tree planted by streams of water that gives its fruit in its season; its leaf also does not wither. Therefore all that he does prospers. 4 Not so the wicked. Instead, they are like the chaff that the wind scatters. 5 Therefore the wicked will not stand in the judgment, nor sinners in the congregation of the righteous; 6 for Yahweh knows the way of the righteous, but the way of the wicked will perish. ",Psalms 1,http://www.oneplace.com/ministries/thru-the-bible-with-j-vernon-mcgee/listen/psalm-1-354144/direct-download/thru-the-bible-with-j-_2013-08-01_psalm-1_20130711141909.mp3
Psalms,"1 Why are nations in tumult, and countries plotting in vain? 2 The kings of the earth establish themselves, and the rulers conspire together against Yahweh and his anointed: 3 “Let us tear off their bonds, and cast their cords from us!” 4 He who sits enthroned in the heavens laughs. The Lord derides them. 5 Then he speaks to them in his wrath, and in his fury he terrifies them: 6 “But as for me, I have set my king on Zion, my holy mountain.” 7 I will tell the decree; Yahweh said to me: “You are my son; today I have begotten you. 8 Ask from me and I will make the nations your heritage, and your possession the ends of the earth. 9 You will break them with an iron rod. Like a potter’s vessel you will shatter them.” 10 So then, O kings, be wise. Be warned, O rulers of the earth. 11 Serve Yahweh with fear, and rejoice with trembling. 12 Kiss the Son lest he be angry and you perish on the way, for his anger burns quickly. Blessed are all who take refuge in him. ",Psalms 2,http://www.oneplace.com/ministries/thru-the-bible-with-j-vernon-mcgee/listen/psalm-2-354145/direct-download/thru-the-bible-with-j-_2013-08-02_psalm-2_20130711141911.mp3
Psalms,"A psalm of David at his fleeing from the presence of Absalom, his son. 1 Yahweh, how many are my enemies; many are rising against me. 2 Many are saying about my soul, “There is no deliverance for him from God. Selah 3 But you, Yahweh, are a shield around me, my glory and the one who lifts up my head. 4 With my voice I call to Yahweh and he answers me from his holy hill. Selah 5 I lay down and slept; I woke up because Yahweh sustains me. 6 I am not afraid of the ten thousands of people who all around have set themselves against me. 7 Rise up, O Yahweh; deliver me, O my God; for you strike all my enemies on the cheek. The teeth of the wicked you break. 8 To Yahweh belongs deliverance; may your blessing be over your people. Selah  For the music director; with stringed instruments. A psalm of David. 1 When I call, answer me, O God of my righteousness. In trouble deliver me. Be gracious to me and hear my prayer. 2 O sons of man, how long will my honor be a disgrace? How long will you love vanity? How long will you seek lies? Selah 3 But know that Yahweh has set apart for himself the faithful one. Yahweh hears when I call to him. 4 Be disturbed but do not sin. Commune in your heart on your bed and be silent. Selah 5 Offer correct sacrifices, and trust in Yahweh. 6 Many are saying, “Who will show us something good?” Lift up over us the light of your face, O Yahweh. 7 You have put gladness in my heart more than when their grain and their wine abound. 8 In peace I will lie down and sleep at once, for you alone, O Yahweh, make me dwell safely. ","Psalms 3, 4",http://www.oneplace.com/ministries/thru-the-bible-with-j-vernon-mcgee/listen/psalms-3-4-354146/direct-download/thru-the-bible-with-j-_2013-08-05_psalms-3-4_20130711142058.mp3
Psalms,"For the music director; with the flutes. A psalm of David. 1 Hear my words, O Yahweh. Give heed to my sighing. 2 Listen to the sound of my pleading, my king and my God, for to you I pray. 3 O Yahweh, in the morning you will hear my voice. In the morning I will set forth my case to you and I will watch. 4 For you are not a God who desires wickedness. Evil cannot dwell with you. 5 The boastful do not stand before your eyes. You hate all evildoers. 6 You destroy speakers of lies. A man of bloodshed and deceit Yahweh abhors. 7 But as for me, through the abundance of your steadfast love I will enter your house. I will bow down toward your holy temple in awe of you. 8 O Yahweh, lead me in your righteousness because of my enemies; make straight before me your way. 9 For there is not anything reliable in his mouth; their inner part is destruction. Their throat is an open grave; with their tongue they speak deceit. 10 Treat them as guilty, O God; let them fall because of their plans. Because of the abundance of their transgressions cast them out, for they have rebelled against you. 11 But let all who take shelter in you rejoice. Let them ever sing for joy, because you spread protection over them; And let those who love your name exult in you. 12 For you bless the righteous. O Yahweh, like a shield you surround him with good favor.  For the music director; with stringed instruments, on the Sheminith. A psalm of David. 1 O Yahweh, do not rebuke me in your anger, and do not discipline me in your wrath. 2 Be gracious to me, O Yahweh, because I am feeble. Heal me, O Yahweh, for my bones are terrified. 3 My soul is also very terrified. But you, O Yahweh, how long? 4 Turn, O Yahweh; deliver my life. Save me for the sake of your steadfast love. 5 For there is no remembrance of you in death. In Sheol, who will give thanks to you? 6 I am weary with my groaning; I flood my bed every night. With my tears I drench my couch. 7 My eye wastes away because of vexation; it grows old because of all my oppressors. 8 Depart from me, all workers of evil, for Yahweh has heard the sound of my weeping. 9 Yahweh has heard my plea; Yahweh has accepted my prayer. 10 All my enemies shall be ashamed and shall be very terrified. They shall turn back; they shall suddenly be ashamed.  A Shiggaion of David which he sang to Yahweh on account of Cush, a Benjaminite. 1 O Yahweh, my God, in you I have taken refuge. Save me from all who pursue me, and deliver me. 2 Or else he will tear me apart like a lion, ripping to pieces, with none to deliver. 3 O Yahweh, my God, if I have done this, if there is wrong in my hands, 4 if I have repaid my ally with harm, or if I have plundered my enemy without cause, 5 let the enemy of my soul pursue, and overtake and trample my life into the ground, and lay my honor in the dust. Selah 6 Rise up, O Yahweh, in your anger, and lift yourself up against the wrath of my oppressors, and awake for me, since you have commanded judgment. 7 And let the assembly of peoples surround you, and over it return on high. 8 Yahweh judges the nations. O Yahweh, vindicate me according to my innocence and according to my integrity within me. 9 Let the evil of the wicked come to an end, but establish the righteous, and test the hearts and innermost being, O righteous God. 10 My shield is with God who saves the upright of heart. 11 God is a righteous judge, and a God who has indignation every day. 12 If he does not repent, he will sharpen his sword. He has bent his bow and he has strung it. 13 And he has prepared for him weapons of death. He has made his arrows fiery shafts. 14 See, he travails with evil. He is pregnant with trouble, and he gives birth to deception. 15 He makes a pit and digs it out, then falls in the trap he has made. 16 His trouble comes back on his head, and his violence comes down on his skull. 17 I will thank Yahweh according to his righteousness, and I will sing praise to the name of Yahweh, the Most High. ",Psalms 5-7,http://www.oneplace.com/ministries/thru-the-bible-with-j-vernon-mcgee/listen/psalms-57-354147/direct-download/thru-the-bible-with-j-_2013-08-06_psalms-57_20130711142257.mp3
Psalms,"For the music director, on the Gittith. A psalm of David. 1 Yahweh, our Lord, how majestic is your name in all the earth, who put your splendor above the heavens. 2 From the mouth of children and infants you have founded strength on account of your enemies, to silence the enemy and the avenger. 3 When I look at your heavens, the work of your fingers, the moon and the stars which you set in place— 4 what is a human being that you think of him? and a child of humankind that you care for him? 5 And you made him a little lower than heavenly beings, and with glory and with majesty you crowned him. 6 You make him over the works of your hands; all things you have placed under his feet: 7 sheep and cattle, all of them, and also the wild animals of the field, 8 the birds of the sky and the fish of the sea, everything that passes along the paths of seas. 9 Yahweh, our Lord, how majestic is your name in all of the earth! ",Psalms 8,http://www.oneplace.com/ministries/thru-the-bible-with-j-vernon-mcgee/listen/psalm-8-354148/direct-download/thru-the-bible-with-j-_2013-08-07_psalm-8_20130711142302.mp3
Psalms,"A miktam of David. 1 Protect me, O God, for I take refuge in you. 2 Oh my soul you have said to Yahweh, “You are my Lord. I have no good apart from you.” 3 With regard to the saints who are in the land, they are the noble ones in whom is all my desire. 4 Those who hurry after another god increase their sorrows. I will not pour out their drink offerings of blood, nor take up their names on my lips. 5 Yahweh is the portion which is my share and my cup. You hold my lot. 6 The measuring lines have fallen for me in pleasant places. Yes, my inheritance is delightful for me. 7 I will bless Yahweh who advises me; yes, at night my innermost being instructs me. 8 I have set Yahweh before me always. Because he is at my right hand I will not be shaken. 9 Therefore my heart is glad and my glory rejoices. Yes, my body will dwell in safety, 10 for you will not abandon my soul to Sheol; you will not give your faithful one to see the grave. 11 You will make known to me the path of life. In your presence is fullness of joy. At your right hand are pleasures forever.  A prayer of David. 1 O Yahweh, hear a just cause. Hear my cry; heed my prayer I make without deceitful lips. 2 Let my vindication come forth from you; let your eyes see fairness. 3 You have tried my heart; you have examined me by night; you have tested me; you found nothing. I have decided that my mouth will not transgress. 4 As for the works of humankind, by the word of your lips, I have kept from the ways of the violent. 5 I have held my steps in your path My feet will not slip. 6 As for me, I have called on you because you will answer me, O God. Incline your ear to me. Hear my words. 7 Show wondrously your acts of loyal love, O Savior of those who take refuge at your right hand from those who rise up against them. 8 Keep me as the apple of your eye. Hide me in the shadow of your wings 9 from the presence of the wicked who destroy me, those enemies against my life, they that surround me. 10 They have shut off their calloused heart; with their mouth they speak arrogantly. 11 Now they surround us at our every step. They intend to pin me to the ground. 12 He is like a lion; he longs to tear apart, and like a strong lion crouching in hiding places. 13 Rise up, O Yahweh, confront him. Make him bow down. Rescue with your sword my life from the wicked, 14 from men by your hand, O Yahweh, from men of this world. Their share is in this life, and you fill their stomach with your treasure. They are satisfied with children. They bequeath their excess to their children. 15 By contrast, I in righteousness shall see your face. Upon awakening I will be satisfied seeing your form. ","Psalms 16, 17",http://www.oneplace.com/ministries/thru-the-bible-with-j-vernon-mcgee/listen/psalms-16-17-355351/direct-download/thru-the-bible-with-j-_2013-08-13_psalms-16-17_20130718165904.mp3
Psalms,"A prayer of David. 1 O Yahweh, hear a just cause. Hear my cry; heed my prayer I make without deceitful lips. 2 Let my vindication come forth from you; let your eyes see fairness. 3 You have tried my heart; you have examined me by night; you have tested me; you found nothing. I have decided that my mouth will not transgress. 4 As for the works of humankind, by the word of your lips, I have kept from the ways of the violent. 5 I have held my steps in your path My feet will not slip. 6 As for me, I have called on you because you will answer me, O God. Incline your ear to me. Hear my words. 7 Show wondrously your acts of loyal love, O Savior of those who take refuge at your right hand from those who rise up against them. 8 Keep me as the apple of your eye. Hide me in the shadow of your wings 9 from the presence of the wicked who destroy me, those enemies against my life, they that surround me. 10 They have shut off their calloused heart; with their mouth they speak arrogantly. 11 Now they surround us at our every step. They intend to pin me to the ground. 12 He is like a lion; he longs to tear apart, and like a strong lion crouching in hiding places. 13 Rise up, O Yahweh, confront him. Make him bow down. Rescue with your sword my life from the wicked, 14 from men by your hand, O Yahweh, from men of this world. Their share is in this life, and you fill their stomach with your treasure. They are satisfied with children. They bequeath their excess to their children. 15 By contrast, I in righteousness shall see your face. Upon awakening I will be satisfied seeing your form.  For the music director. Of David, the servant of Yahweh, who spoke to Yahweh the words of this song when Yahweh delivered him from the hand of all his enemies, and from the hand of Saul. 1 And he said: “I love you, O Yahweh, my strength.” 2 Yahweh is my rock and my fortress and my deliverer, my God, my rock in whom I have taken refuge, my shield and the horn of my deliverance, my stronghold. 3 I called upon Yahweh, who is worthy to be praised, and I was saved from my enemies. 4 The ropes of death encircled me, and streams of ruin overwhelmed me. 5 The ropes of Sheol surrounded me; the snares of death confronted me. 6 In my trouble I called on Yahweh, and to my God I cried for help. He heard my voice from his temple, and my cry for help came up before his presence into his ears. 7 Then the earth shook and quaked, and the foundations of the mountains trembled, and they staggered because he was angry. 8 Smoke went forth from his nose, and fire from his mouth consumed. Burning coals blazed from him. 9 So he bowed the heavens and came down with a thick cloud under his feet. 10 And he mounted a cherub and flew, and he swooped down on wings of wind. 11 He made darkness his hiding place; all about him his covering was a darkness of waters, thick clouds. 12 From the brightness before him his clouds passed over with hail and coals of fire. 13 And Yahweh thundered from the heavens, and the Most High uttered his voice with hail and coals of fire. 14 And he shot his arrows and scattered them, and many lightning bolts and routed them. 15 Then the channels of the sea became visible, and the foundations of the world were uncovered by your rebuke, O Yahweh, by the blast of the wind of your nose. 16 He reached from on high; he seized me. He drew me from many waters. 17 He delivered me from my strong enemy, and from those who hated me because they were stronger than I. 18 They confronted me on the day of disaster, but Yahweh was my support. 19 So he brought me out to a spacious place. He delivered me because he delighted in me. 20 Yahweh has rewarded me according to my righteousness; According to the cleanness of my hands he has repaid me. 21 Because I have kept the ways of Yahweh, and have not acted wickedly against my God, 22 because all his ordinances are before me, and his statutes I have not removed from me, 23 and I was blameless before him, and I kept myself from my guilt. 24 Therefore Yahweh has repaid me according to my righteousness, according to the cleanness of my hands in his sight. 25 To the loyal you show yourself loyal. To the blameless you show yourself blameless. 26 To the pure you show yourself pure. but to the wicked you show yourself shrewd. 27 For you deliver humble people, but haughty eyes you humiliate. 28 For you light my lamp; Yahweh, my God, lights up my darkness. 29 For with you I can charge a troop, and with my God I can scale a wall. 30 This God—his way is blameless. The word of Yahweh is flawless. He is a shield for all those who take refuge in him. 31 For who is God apart from Yahweh, and who is a rock except our God? 32 The God who girded me with strength, and made safe my way, 33 he made my feet like the deer’s, and on my high places he makes me stand. 34 He trains my hands for war, so that my arms can bend a bow of bronze. 35 You also gave me the shield of your salvation, and your right hand supported me, and your humility made me great. 36 You enlarged my step under me, and my ankles did not slip. 37 I chased my enemies and overtook them; I did not turn back until they were finished off. 38 I struck them and they were not able to stand up; they fell under my feet. 39 And you girded me with strength for the battle; those rising against me you made to kneel under me. 40 And you made my enemies turn their backs, then I destroyed those who hated me. 41 They cried out but there was no rescuer, even to Yahweh, but he did not answer them. 42 And I ground them like dust in the wind, I emptied them out like mud of the streets. 43 You rescued me from strife with people; you set me as head (over) nations. People I did not know served me; 44 as soon as they heard, they obeyed me. The children of a foreign land feigned obedience before me. 45 The children of a foreign land lost heart, and they came trembling from their strongholds. 46 Yahweh lives, and blessed be my rock, and may the God of my salvation be exalted— 47 the God who executed vengeance for me, and subdued peoples under me, 48 who delivered me from my enemies. Indeed, you exalted me higher than those who rose against me. You delivered me from the man of violence. 49 Therefore I will give thanks to you among the nations, O Yahweh, and I will sing the praise of your name: 50 the one who makes great victories for his king, and who shows loyal love for his anointed, to David and to his descendants forever. ","Psalms 17, 18",http://www.oneplace.com/ministries/thru-the-bible-with-j-vernon-mcgee/listen/psalms-17-18-355352/direct-download/thru-the-bible-with-j-_2013-08-14_psalms-17-18_20130718170057.mp3
Psalms,"For the music director. A psalm of David. 1 The heavens are telling the glory of God, and the firmament proclaims the work of his hands. 2 Every day they pour forth speech, and every night they tell knowledge. 3 There is no speech and there are no words; their sound is inaudible. 4 Yet in all the world their line goes out, and their words to the end of the world. In them he has pitched a tent for the sun, 5 and it is like a bridegroom who comes out of his bridal chamber. It is glad like a strong man to run its course. 6 Its rising is from one end of the heavens and its circuit to the other end of them; and nothing is hidden from its heat. 7 The law of Yahweh is perfect, reviving life. The testimony of Yahweh is firm, making wise the simple. 8 The precepts of Yahweh are right, making the heart rejoice. The command of Yahweh is pure, enlightening the eyes. 9 The fear of Yahweh is pure, enduring forever. The ordinances of Yahweh are true; they are righteous altogether, 10 more desirable than gold, even much fine gold; and sweeter than honey, even honey in the comb. 11 Moreover, your servant is warned by them; in keeping them is great reward. 12 Who can perceive his errors? Acquit me from hidden faults. 13 Also, keep back your servant from arrogant sins; let them not rule over me. Then I shall be blameless, and I shall be innocent of great transgression. 14 Let the words of my mouth and the meditation of my heart be acceptable in your presence, O Yahweh, my rock and my redeemer.  For the music director. A psalm of David. 1 May Yahweh answer you in the day of trouble. May the name of Jacob’s God protect you. 2 May he send you help from the sanctuary, and from Zion may he sustain you. 3 May he remember all your offerings, and your burnt offering may he regard favorably. Selah 4 May he give to you your heart’s desire, and your every plan may he fulfill. 5 May we shout for joy over your victory, and in the name of our God may we set up banners. May Yahweh fulfill all your requests. 6 Now I know that Yahweh will help his anointed. He will answer him from his holy heaven with the victorious power of his right hand. 7 Some boast in chariots and others in horses, but we boast in the name of Yahweh, our God. 8 They will collapse and fall, and we will rise and stand firm. 9 Rescue, O Yahweh. Let the king answer us when we call. ","Psalms 19, 20",http://www.oneplace.com/ministries/thru-the-bible-with-j-vernon-mcgee/listen/psalms-19-20-355353/direct-download/thru-the-bible-with-j-_2013-08-15_psalms-19-20_20130718170102.mp3
Psalms,"For the music director. A psalm of David. 1 O Yahweh, the king will rejoice in your strength, and how greatly he will delight in your help. 2 You have given him the desire of his heart, and have not withheld the request of his lips. Selah 3 For you meet him with blessings of good things. You set on his head a crown of fine gold. 4 He asked life from you; you gave it to him— length of days forever and ever. 5 His honor is great because of your help. Splendor and majesty you have bestowed upon him. 6 For you set on him blessings forever. You make him glad with the joy of your presence. 7 Because the king trusts Yahweh, and through the steadfast love of the Most High he shall not be moved. 8 Your hand will find all your enemies; your right hand will find those who hate you. 9 You will make them like your fiery furnace at the time of your appearance. Yahweh will swallow them in his wrath and fire will consume them. 10 You will destroy their offspring from the earth, and their descendants from among the children of humankind. 11 Though they have plotted evil against you, though they have planned a scheme, they will not prevail. 12 For you will turn them to flight; you will aim arrows on your bowstrings at their faces. 13 Be exalted, O Yahweh, in your strength, and we sing and praise your power.  For the music director; according to The Doe of the Dawn. A psalm of David. 1 My God, my God why have you forsaken me? Why are you far from helping me, far from the words of my groaning? 2 O my God, I call by day and you do not answer, and by night but I have no rest. 3 Yet you are holy, enthroned on the praises of Israel. 4 Our ancestors trusted you; they trusted and you delivered them. 5 They cried to you and were saved; they trusted you and were not ashamed. 6 But I am a worm and not a man, scorned by humankind and despised by people. 7 All who see me mock me. They open wide their lips; they shake the head, saying: 8 “He trusts Yahweh. Let him rescue him. Let him deliver him because he delights in him.” 9 Yet you took me from the belly; you made me trust while on my mother’s breasts. 10 On you I was cast from the womb. From my mother’s belly you have been my God. 11 Do not be far from me because trouble is near; because there is no helper. 12 Many bulls have encircled me; mighty bulls of Bashan have surrounded me. 13 They open their mouth against me like a lion tearing and roaring. 14 I am poured out like water, and all my bones are out of joint. My heart is like wax; it is melted within me. 15 My strength is dry like a potsherd, and my tongue is sticking to my jaws; and you have placed me in the dust of death. 16 Because dogs have surrounded me; a gang of evildoers has encircled me. Like the lion they are at my hands and my feet. 17 I can count all my bones; they gaze, they look at me. 18 They divide my garments among them, and for my clothing they cast lots. 19 But you, O Yahweh, do not remain distant. O my help, hasten to help me. 20 Rescue my life from the sword, my only life from the power of the dogs. 21 Save me from the mouth of the lion, and from the horns of the wild oxen answer me. 22 I will tell your name to my brothers; inside the assembly I will praise you. 23 You who revere Yahweh, praise him! Glorify him, all you seed of Jacob, and be in awe of him, all you seed of Israel, 24 because he has not despised nor abhorred the affliction of the afflicted, and has not hid his face from him; but he listened to him when he cried for help. 25 From you is my praise. In the great assembly, I will pay my vows before those who revere him. 26 The afflicted will eat and will be satisfied. Those who seek him will praise Yahweh. May your heart live forever. 27 All the ends of the earth will remember and turn to Yahweh. All the families of the nations will worship before you. 28 Because the kingship belongs to Yahweh, and he rules over the nations. 29 All the healthy ones of the earth will eat and worship. Before him all of those descending into the dust will kneel, even he who cannot keep his soul alive. 30 Descendants will serve him. Regarding the Lord, it will be told to the next generation. 31 They will come and tell his saving deeds to a people yet to be born, that he has done it. ","Psalms 21, 22",http://www.oneplace.com/ministries/thru-the-bible-with-j-vernon-mcgee/listen/psalms-21-22-355354/direct-download/thru-the-bible-with-j-_2013-08-16_psalms-21-22_20130718170105.mp3
